CustomerID,Lookalikes
C0001,"[('C0192', np.float64(0.8829)), ('C0184', np.float64(0.866)), ('C0120', np.float64(0.8374))]"
C0002,"[('C0106', np.float64(0.9352)), ('C0029', np.float64(0.9107)), ('C0134', np.float64(0.8844))]"
C0003,"[('C0195', np.float64(0.8957)), ('C0052', np.float64(0.8524)), ('C0031', np.float64(0.8239))]"
C0004,"[('C0165', np.float64(0.9763)), ('C0113', np.float64(0.8927)), ('C0169', np.float64(0.8716))]"
C0005,"[('C0007', np.float64(0.8524)), ('C0192', np.float64(0.7967)), ('C0130', np.float64(0.7529))]"
C0006,"[('C0187', np.float64(0.8764)), ('C0168', np.float64(0.8699)), ('C0171', np.float64(0.8049))]"
C0007,"[('C0005', np.float64(0.8524)), ('C0074', np.float64(0.808)), ('C0120', np.float64(0.7662))]"
C0008,"[('C0090', np.float64(0.7733)), ('C0049', np.float64(0.7485)), ('C0189', np.float64(0.7431))]"
C0009,"[('C0103', np.float64(0.7667)), ('C0058', np.float64(0.7645)), ('C0128', np.float64(0.758))]"
C0010,"[('C0062', np.float64(0.8853)), ('C0121', np.float64(0.8538)), ('C0060', np.float64(0.8342))]"
C0011,"[('C0153', np.float64(0.8551)), ('C0118', np.float64(0.7984)), ('C0171', np.float64(0.7855))]"
C0012,"[('C0195', np.float64(0.9435)), ('C0087', np.float64(0.7771)), ('C0065', np.float64(0.7581))]"
C0013,"[('C0087', np.float64(0.8302)), ('C0143', np.float64(0.805)), ('C0022', np.float64(0.7707))]"
C0014,"[('C0097', np.float64(0.9248)), ('C0172', np.float64(0.9031)), ('C0151', np.float64(0.8829))]"
C0015,"[('C0058', np.float64(0.9265)), ('C0042', np.float64(0.7616)), ('C0016', np.float64(0.7214))]"
C0016,"[('C0042', np.float64(0.9099)), ('C0183', np.float64(0.8219)), ('C0050', np.float64(0.7805))]"
C0017,"[('C0075', np.float64(0.9061)), ('C0090', np.float64(0.8035)), ('C0041', np.float64(0.8021))]"
C0018,"[('C0046', np.float64(0.9256)), ('C0117', np.float64(0.8577)), ('C0065', np.float64(0.7403))]"
C0019,"[('C0121', np.float64(0.7991)), ('C0199', np.float64(0.7963)), ('C0119', np.float64(0.7888))]"
C0020,"[('C0050', np.float64(0.8352)), ('C0026', np.float64(0.8243)), ('C0140', np.float64(0.813))]"
